D1,D2,D3
0.838,0.794833333,0.72866121
0.98,1,0.899742437
0.242,0.223,0.230647108
0.300666667,0.330130435,0.181069854
0.138666667,0.047219771,0.155796078
0.298,0.339,0.359011287
0.806,0.918,0.579973385
0.824,0.7142,0.867669461
0.6461,0.73,0.696937813
0.187666667,0.114,0.190501758
0.711529101,0.770359962,0.64696585
0.276,0.36,0.213048679
0.5175,0.491,0.316666196
0.392333333,0.449,0.575128515
0.581137662,0.716377778,0.760739807
0.698666667,0.74,0.45145911
0.729,0.723,0.334124443
0.485,0.295883333,0.450651001
0.454444444,0.251904762,0.244103799
0.373,0.301333333,0.388705102
0.692,0.684,0.777462745
0.523764706,0.657,0.50649675
0.11,0.126,0.177401506
0.151,0.214,0.114856457
0.082,0.060622222,0.109883241
0.996,0.993,0.897039054
0.571,0.6235,0.692021312
0.474666667,0.4945,0.665580134
0.6476,0.693933333,0.783678499
0.755,0.819,0.855473247
0.046,0,0.19878791
0.556,0.557,0.645801105
0.006,0.015506227,0.102668403
0.746666667,0.746,0.763508551
0.87,0.805290043,0.850254325
0.346,0.387333333,0.319743878
0.420666667,0.468666667,0.298811001
0.583666667,0.412,0.822052234
0.639105351,0.771268828,0.533439002
0.837,0.885666667,0.852807088
0.93,0.973,0.84693553
0.192666667,0.1046,0.136304022
0.048,0.016666667,0.145512965
0.67,0.707666667,0.790587567
0.824,0.920179487,0.737328928
0.906333333,0.971,0.853574239
0.5025,0.6642,0.234811349
0.35,0.252,0.61765449
0.2464,0.038,0.425713353
0.674,0.5315,0.510601854
0.876,0.8565,0.872839754
0.668,0.697,0.799282932
0.2952,0.2886,0.230054625
0.661142857,0.638142857,0.822811697
0.497,0.36,0.687279584
0.6875,0.788,0.820843744
0.24,0.241,0.202932517
0.2052,0.099866667,0.148301466
0.943333333,0.9665,0.888602495
0.4735,0.3902,0.28052548
0.2217,0.162,0.170210728
0.55,0.561333333,0.295081756
0.606,0.531666667,0.468931311
0.56,0.348666667,0.779880431
0.272,0.192142857,0.309684217
0.542,0.511,0.478813955
0.775333333,0.877666667,0.775901916
0.824,0.773,0.848513578
0.168539683,0.077,0.148622572
0.612440293,0.4827,0.77040629
0.227666667,0.1395,0.190719876
0.292,0.328,0.148515049
0.976666667,0.959532112,0.865919197
0.5148,0.417333333,0.376631203
0.8736,0.871190476,0.829015342
0.992,1,0.882216346
0.6966,0.895233333,0.595223283
0.804,0.934,0.798998695
0.907833333,0.878166667,0.8331035
0.114285714,0.035666667,0.096062789
0.822,0.783333333,0.851297243
0.166666667,0.125538095,0.629975482
0.806,0.8395,0.807621525
0.909,0.979,0.838694981
0.81,0.829,0.895234674
0.361433333,0.253844322,0.451272657
0.237991026,0.117346864,0.493075203
0.328,0.284,0.240324633
0.750666667,0.891,0.835721495
0.5295,0.351,0.753636232
0.978,0.996,0.8820065
0.881,0.858311111,0.869573276
0.598,0.758,0.810751494
0.423333333,0.287461819,0.340342087
0.744,0.832,0.710947714
0.44,0.432,0.221805185
0.72,0.854,0.82014348
0.644215835,0.601145989,0.619538406
0.589,0.4744,0.806819519
0.4045,0.383933333,0.429085843
0.1539,0.063485714,0.114598275
0.544,0.5748,0.714432256
0.814285714,0.742047619,0.73222478
0.908833333,0.9326,0.875240212
0.249,0.173555556,0.357969925
0.7076,0.679,0.749333112
0.7918,0.793,0.81125336
0.96,0.982666667,0.874842974
0.016,0.004,0.099207903
0.87,0.966,0.78108251
0.236,0.228,0.446875711
0.116,0.077504274,0.135060742
0.05,0.006,0.198222838
0.912016667,0.94765873,0.859801334
0.902,0.875,0.87662596
0.374,0.25547619,0.710307689
0.422,0.421,0.39232806
0.312,0.246,0.352655696
0.719,0.845,0.777636955
0.924,0.959,0.891447787
0.354333333,0.364754902,0.314283963
0.214,0.232,0.174426715
0.366,0.398,0.440564615
0.3125,0.349,0.242483907
0.752333333,0.7535,0.738795486
0.892,0.914,0.738452232
0.724,0.756,0.830551878
0.2992,0.379,0.220058112
0.834,0.926,0.791917871
0.77,0.65,0.832845924
0.198,0.273,0.130642946
0.754,0.874,0.717516315
0.612,0.220266667,0.858070331
0.92,0.922,0.878699531
0.5353,0.634,0.395856296
0.037333333,0.033222222,0.141325418
0.27,0.363,0.236002076
0.23,0.177,0.134184643
0.454,0.611,0.316731655
0.734,0.807333333,0.728518642
0.804,0.822,0.696606424
0.448433333,0.39332381,0.479206633
0.974,0.996,0.86505503
0.742,0.906,0.780967717
0.9195,0.955888889,0.816084133
0.942,0.9592,0.792666908
0.424,0.445,0.298988546
0.604,0.795,0.692624958
0.316,0.423,0.2771343
0.298392157,0.283133333,0.228144062
0.328573593,0.180066667,0.353116639
0.744,0.63,0.836618616
0.846,0.882,0.861001521
0.247,0.259,0.21284693
0.63,0.745,0.634037797
0.272666667,0.224,0.280758378
0.649,0.890666667,0.368650813
0.162,0.052,0.156689823
0.61,0.574,0.739178414
0.7978,0.837420635,0.759451939
0.445,0.439,0.370220668
0.158593939,0.096607038,0.176450204
