D1,D2,D3
0.822,0.794266667,0.713722879
0.968,1,0.914863194
0.269666667,0.220333333,0.210149299
0.276454545,0.267,0.176752657
0.12,0.057666667,0.131641573
0.326,0.296,0.338007989
0.836,0.928,0.625092004
0.816,0.748,0.833180647
0.610333333,0.7328,0.696073113
0.148,0.125,0.189328575
0.711230045,0.796256733,0.635868946
0.23,0.338515152,0.17613569
0.4995,0.529,0.328442735
0.399666667,0.413666667,0.509495496
0.562697619,0.729733333,0.796807169
0.752,0.766,0.484832681
0.69,0.704,0.341286612
0.441333333,0.266133333,0.430873949
0.439469697,0.295671429,0.227817597
0.406666667,0.282333333,0.366652504
0.694,0.642,0.783442805
0.575,0.668833333,0.562639496
0.15,0.1,0.149686109
0.172,0.192,0.117596738
0.059,0.054,0.116578001
0.996,0.998,0.889858261
0.584,0.651,0.703294755
0.461333333,0.551333333,0.595387416
0.653,0.7536,0.768406323
0.75,0.838333333,0.833971622
0.064,0.008,0.218238799
0.512,0.565,0.659895729
0.016,0.010535714,0.108637738
0.726,0.754,0.746323482
0.884,0.814,0.85538354
0.357,0.39,0.292700994
0.392,0.495666667,0.299916324
0.582,0.307,0.720047125
0.679295238,0.742768228,0.588639646
0.87,0.887333333,0.872981369
0.936,0.974,0.895697762
0.152666667,0.12,0.144503854
0.066166667,0.020333333,0.132455282
0.655142857,0.6874,0.790687647
0.828666667,0.919,0.716334757
0.915333333,0.958,0.868748997
0.495,0.661535354,0.21983867
0.333,0.281333333,0.552524466
0.228,0.03,0.370312255
0.703333333,0.539833333,0.524072989
0.873333333,0.837,0.849218867
0.684,0.724,0.805641317
0.2685,0.263133333,0.265637601
0.675,0.621666667,0.787296014
0.512,0.324,0.571373361
0.678,0.791,0.782718257
0.255666667,0.276219048,0.201940646
0.233530303,0.127666667,0.149725729
0.915,0.966,0.87611209
0.464,0.408333333,0.317392038
0.193133333,0.186833333,0.194018126
0.552,0.5318,0.28000554
0.5555,0.5275,0.412513028
0.562,0.362,0.813554719
0.2372,0.194,0.259291667
0.597,0.5308,0.641404843
0.733666667,0.904166667,0.82192676
0.79,0.752666667,0.851124695
0.161716129,0.072666667,0.175497038
0.607366667,0.469604762,0.769657105
0.227,0.119,0.206425271
0.277333333,0.338333333,0.184875914
0.9755,0.963426307,0.871812583
0.545333333,0.432,0.381412164
0.913666667,0.879033333,0.799778656
0.992,0.998,0.87335276
0.706,0.898488095,0.569488647
0.822,0.934,0.763342687
0.8745,0.867900901,0.846610437
0.096166667,0.063217773,0.108436787
0.84,0.801,0.862950893
0.172333333,0.100304762,0.576081746
0.7836,0.8636,0.736691709
0.932,0.984,0.853916315
0.796,0.79,0.878842003
0.338303571,0.313110334,0.491409955
0.196095238,0.122559679,0.441864065
0.336,0.322,0.194953743
0.762,0.904,0.832399483
0.552,0.397466667,0.733064917
0.978,0.996,0.86941709
0.897,0.860633333,0.860008753
0.554,0.766,0.843996063
0.393123626,0.251090842,0.245026434
0.72,0.872,0.721938565
0.4684,0.451,0.344864525
0.731,0.824,0.819912683
0.664961111,0.57938039,0.613539187
0.5452,0.421,0.808317664
0.392,0.435,0.387675233
0.112,0.06134632,0.122789543
0.54,0.552,0.776525323
0.787666667,0.724333333,0.723127443
0.915666667,0.9275,0.88006177
0.252,0.162,0.282270299
0.7,0.741,0.762436432
0.744,0.768,0.793078041
0.954,0.990666667,0.869202323
0.018181818,0.00162258,0.090140022
0.832,0.976,0.761130085
0.2276,0.271238095,0.442011232
0.104,0.1024,0.132724504
0.034,0.012,0.15641821
0.893333333,0.942991758,0.842814016
0.92,0.879,0.879217148
0.356333333,0.272166667,0.665729874
0.398,0.383333333,0.352930787
0.285333333,0.268,0.336143011
0.722,0.827,0.75175858
0.89,0.953,0.892353792
0.318,0.370733333,0.308070217
0.171,0.2,0.1363804
0.359,0.438,0.438656434
0.3291,0.367666667,0.230210339
0.753142857,0.6985,0.75244143
0.906,0.936,0.770121126
0.732,0.803,0.80652865
0.286,0.33,0.232866178
0.81,0.938,0.874397271
0.756,0.659,0.811809838
0.25,0.267,0.154444123
0.774,0.874,0.759951274
0.584,0.200333333,0.84511156
0.898,0.9304,0.899003673
0.5188,0.621,0.406487106
0.034666667,0.02625,0.139657559
0.244,0.33,0.323412755
