D1,D2,D3,D1,D2,D3
0.661259357,0.954907595,0.900746894,0.8402,0.8832,0.823518468
0.78474774,0.996287193,0.991923062,0.86315,0.8987,0.834367755
0.358975598,0.37879937,0.207569286,0.576079048,0.537223566,0.351669511
0.904575365,0.924661696,0.970836648,0.956693333,0.967283333,0.870861428
0.065853943,0.002916616,0.004184178,0.195426526,0.129390556,0.172177275
0.3542964,0.655602076,0.643283206,0.558066667,0.589444444,0.585161242
0.893727744,0.990373031,0.942509699,0.923951111,0.947534762,0.830034932
0.879881061,0.774092654,0.944380459,0.680013958,0.695690537,0.609969395
0.83913996,0.98933154,0.959487025,0.882646667,0.92356,0.870909825
0.709146273,0.665259847,0.829462547,0.488732222,0.547226667,0.349981148
0.524323995,0.45237941,0.429926107,0.345266667,0.288033333,0.331108345
0.682925261,0.930180675,0.807459196,0.661661205,0.744871888,0.608967837
0.715388616,0.528163451,0.49661052,0.769666667,0.6909,0.791976965
0.661259357,0.902822913,0.827324245,0.5401,0.6641,0.365996552
0.462511547,0.377357219,0.405071103,0.382,0.4308,0.243554932
0.171648946,0.028151729,0.098392353,0.182806667,0.043882051,0.269588773
0.307177085,0.052637071,0.051306416,0.262922024,0.148566667,0.215519692
0.258922027,0.120631758,0.054223624,0.260526667,0.281622857,0.22387994
0.383165353,0.390135683,0.613190629,0.4304,0.551366667,0.282746793
0.661259357,0.896194921,0.938915974,0.79845,0.919966667,0.81587793
0.109547713,0.008156061,0.049328191,0.204751479,0.130077397,0.207423551
0.661259357,0.949489335,0.931148961,0.8844,0.9562,0.807359522
0.882419971,0.982058948,0.95031975,0.845228391,0.884926154,0.781624188
0.787651503,0.993459601,0.998831203,0.916833333,0.959666667,0.870184894
0.866849681,0.995497603,0.999910545,0.8189,0.872033333,0.86689487
0.862069813,0.727174002,0.731073323,0.558115238,0.565248964,0.763448173
0.119354881,0.002822383,0.002901213,0.182160317,0.130666602,0.174280064
0.542803848,0.185415787,0.106857421,0.293733333,0.407033333,0.212654531
0.146251006,0.02223607,0.041432483,0.22435,0.15295,0.144857092
0.512150083,0.797218865,0.755792275,0.534683626,0.727643593,0.32497841
0.32851365,0.114701833,0.057920473,0.390183333,0.312395238,0.213466396
0.078604113,0.001163998,0.006081387,0.1537,0.066811111,0.159824005
0.669509108,0.753598738,0.840627973,0.706746667,0.764933333,0.797233315
0.263960589,0.220418002,0.130799128,0.433214817,0.425133737,0.359540811
0.375747597,0.344902725,0.165201827,0.438513333,0.404566667,0.341471196
0.80178557,0.850922781,0.652426745,0.908466667,0.890856667,0.867034993
0.811702264,0.894745311,0.866313344,0.7816,0.8795,0.745525179
0.868274499,0.959970196,0.923809541,0.67975,0.854286667,0.660572896
0.883440751,0.974211661,0.943853165,0.863476667,0.875316667,0.851267428
0.824948534,0.993082641,0.993923831,0.9158,0.91015,0.887526033
0.342547594,0.231685258,0.194539452,0.414100556,0.487711714,0.279352647
0.159762075,0.007423774,0.012117184,0.087026753,0.113874545,0.149736084
0.74854304,0.991840865,0.980431915,0.647766667,0.71581,0.687133504
0.969195332,0.914508139,0.809229011,0.8712574,0.873214658,0.86081317
0.074973429,0.01267872,0.0627875,0.075062121,0.037508126,0.148828064
0.527030748,0.626017482,0.537224336,0.348863095,0.445004603,0.461818697
0.757241,0.949643321,0.916090656,0.8197,0.844933333,0.787057487
0.711201015,0.608706029,0.587144773,0.56515,0.529086667,0.436553756
0.920432906,0.859036695,0.684871894,0.892488095,0.840116667,0.866978961
0.529897703,0.690770452,0.821578033,0.62523,0.715241081,0.671241178
0.758057345,0.930728549,0.879283968,0.817571429,0.819833333,0.666358176
0.135946616,0.006620403,0.040305506,0.115333333,0.0512,0.16544624
0.719140588,0.869212263,0.888551655,0.729759048,0.706398095,0.811156707
0.096079483,0.008066987,0.043179037,0.205205556,0.11531,0.205264118
0.070974727,0.011228259,0.020522556,0.165551111,0.068243118,0.171949019
0.824787248,0.940384849,0.998597723,0.78972619,0.79815,0.839425887
0.903240648,0.993966644,0.988650175,0.976266667,0.989826667,0.880855962
0.676025282,0.985435719,0.995894582,0.913933333,0.9797,0.854047121
0.917129912,0.998553533,0.995154251,0.9505,0.9874,0.892733638
0.820686641,0.850039439,0.637446745,0.7189,0.654266667,0.438083364
0.659400282,0.809602798,0.654487433,0.733443373,0.747197242,0.714445099
0.825207217,0.988983307,0.903359648,0.88189,0.9006,0.839742785
0.407087468,0.022817897,0.050497623,0.3391,0.192866667,0.271551953
0.03817641,0.000210933,0.002997607,0.075168182,0.137259159,0.119524464
0.603524417,0.87613219,0.770080339,0.55932,0.779333333,0.379614373
0.421979209,0.548406598,0.440308882,0.473833333,0.420638571,0.279286644
0.454372,0.058763546,0.152632766,0.423133333,0.4305,0.486468449
0.135764908,0.011061853,0.082363261,0.305375,0.255133333,0.224298902
0.217056402,0.306526112,0.263086957,0.32547157,0.241957506,0.264904826
0.356674668,0.080145058,0.0235106,0.4363,0.39088,0.268961548
0.763281977,0.888798226,0.812728383,0.826103333,0.885210788,0.813414155
0.508928778,0.715186156,0.650577132,0.718,0.8523,0.62515415
0.754972777,0.986693519,0.922249999,0.872686667,0.889516667,0.766969413
0.920889726,0.993149079,0.993788835,0.8294,0.8469,0.857038061
0.661259357,0.232239882,0.102705233,0.3292,0.2484,0.223560958
0.490941792,0.118638389,0.083327628,0.3358,0.344026667,0.197780857
0.883981905,0.997907048,0.999371262,0.85715,0.899466667,0.872877403
0.545745653,0.239308271,0.199308039,0.5481,0.416133333,0.381698473
0.685322457,0.991924728,0.946357619,0.901033333,0.952633333,0.861593476
0.428736739,0.190600544,0.051070389,0.3537,0.366813333,0.280180496
0.393306051,0.306858959,0.360330278,0.25713,0.166066667,0.462340068
0.439321615,0.191933056,0.123448773,0.24308,0.149233333,0.485525726
0.065972901,0.014988587,0.024869578,0.122216667,0.063464062,0.230918964
0.141679908,0.124011479,0.040229686,0.195903333,0.16166,0.182327651
0.448883267,0.842448191,0.819123538,0.715133333,0.78276,0.514036613
0.365175237,0.420130721,0.396806054,0.501384055,0.46333522,0.744812416
0.582191748,0.181239753,0.11606012,0.42385,0.354583333,0.268490627
0.661259357,0.898736151,0.92640313,0.86114,0.942733333,0.798020313
0.663725431,0.879161215,0.907140403,0.90733641,0.916152302,0.821408834
0.49836154,0.240824661,0.900356493,0.376333333,0.502109524,0.547957985
0.695311649,0.575200184,0.758352211,0.54696,0.52331746,0.694987206
0.424524839,0.806032731,0.932520266,0.60605,0.609183333,0.563101585
0.383834366,0.24718753,0.086933176,0.3106,0.30454,0.189019343
0.134538618,0.18917308,0.192689878,0.157380563,0.131890066,0.131774848
0.381365537,0.840676828,0.844761863,0.6694,0.780966667,0.582294799
0.523863207,0.354915962,0.33541326,0.338993333,0.280166667,0.255332828
0.631833589,0.806174992,0.810013261,0.58028,0.61425,0.743494922
0.271801478,0.917873123,0.965849409,0.8266,0.93735,0.805882432
0.824043696,0.967866586,0.82824967,0.89195,0.8917,0.877264708
0.739558026,0.942181712,0.989794986,0.861566667,0.9005,0.839812127
0.731770174,0.490469951,0.811606586,0.566506349,0.559277268,0.650699556
0.909382124,0.981168247,0.888046191,0.947599744,0.986730683,0.819640916
0.914369358,0.816997202,0.951627091,0.60885619,0.497096667,0.862990108
0.50425037,0.10536515,0.194768408,0.366296667,0.287794872,0.593475839
0.644196972,0.251350106,0.145279534,0.242818095,0.169066667,0.434177512
