D1,D2,D3,D1,D2,D3
0.661259357,0.954907595,0.900746894,0.8364,0.8884,0.833701353
0.78474774,0.996287193,0.991923062,0.86864,0.898533333,0.838727014
0.358975598,0.37879937,0.207569286,0.564291429,0.54117,0.373097479
0.904575365,0.924661696,0.970836648,0.956733333,0.9684,0.869776128
0.065853943,0.002916616,0.004184178,0.190341643,0.124673214,0.166049944
0.3542964,0.655602076,0.643283206,0.5726,0.5944,0.587836511
0.893727744,0.990373031,0.942509699,0.919196984,0.947806667,0.832532998
0.879881061,0.774092654,0.944380459,0.673520317,0.686992928,0.585500907
0.83913996,0.98933154,0.959487025,0.886193333,0.9217,0.866195881
0.709146273,0.665259847,0.829462547,0.489516667,0.552616667,0.424870129
0.524323995,0.45237941,0.429926107,0.3495,0.305083333,0.33080415
0.682925261,0.930180675,0.807459196,0.657140243,0.757347737,0.630730722
0.715388616,0.528163451,0.49661052,0.741033333,0.6765,0.793206727
0.661259357,0.902822913,0.827324245,0.54355,0.6637,0.40555822
0.462511547,0.377357219,0.405071103,0.375066667,0.427766667,0.230503893
0.171648946,0.028151729,0.098392353,0.191186987,0.037459545,0.269547294
0.307177085,0.052637071,0.051306416,0.250333333,0.138898571,0.194979024
0.258922027,0.120631758,0.054223624,0.2601,0.287723333,0.207190324
0.383165353,0.390135683,0.613190629,0.42395,0.548466667,0.289588845
0.661259357,0.896194921,0.938915974,0.788783333,0.917333333,0.806236984
0.109547713,0.008156061,0.049328191,0.191839128,0.133798275,0.197970364
0.661259357,0.949489335,0.931148961,0.884,0.959,0.820363378
0.882419971,0.982058948,0.95031975,0.848521185,0.893429654,0.782153304
0.787651503,0.993459601,0.998831203,0.912783333,0.954433333,0.871655463
0.866849681,0.995497603,0.999910545,0.8241,0.8763,0.856543755
0.862069813,0.727174002,0.731073323,0.550254444,0.564121905,0.790419865
0.119354881,0.002822383,0.002901213,0.182233974,0.137841299,0.175208842
0.542803848,0.185415787,0.106857421,0.2933,0.400816667,0.204455909
0.146251006,0.02223607,0.041432483,0.226433333,0.15235,0.153834294
0.512150083,0.797218865,0.755792275,0.53363,0.724945476,0.308905133
0.32851365,0.114701833,0.057920473,0.382,0.304083333,0.201982991
0.078604113,0.001163998,0.006081387,0.146233333,0.074260875,0.156034698
0.669509108,0.753598738,0.840627973,0.697733333,0.789271111,0.810198123
0.263960589,0.220418002,0.130799128,0.425721414,0.418500714,0.374635236
0.375747597,0.344902725,0.165201827,0.448308333,0.411333333,0.330532911
0.80178557,0.850922781,0.652426745,0.9098,0.887416667,0.862108847
0.811702264,0.894745311,0.866313344,0.783506667,0.8782,0.75069457
0.868274499,0.959970196,0.923809541,0.68915,0.852298788,0.63604401
0.883440751,0.974211661,0.943853165,0.86926,0.869313333,0.850295117
0.824948534,0.993082641,0.993923831,0.918,0.908533333,0.890788782
0.342547594,0.231685258,0.194539452,0.395830173,0.486198773,0.274191954
0.159762075,0.007423774,0.012117184,0.086923041,0.118301984,0.145057077
0.74854304,0.991840865,0.980431915,0.641603333,0.721653333,0.710837321
0.969195332,0.914508139,0.809229011,0.872800548,0.872456999,0.859604679
0.074973429,0.01267872,0.0627875,0.067953389,0.04260152,0.148443105
0.527030748,0.626017482,0.537224336,0.36376754,0.459174658,0.467462892
0.757241,0.949643321,0.916090656,0.8167,0.8522,0.779186391
0.711201015,0.608706029,0.587144773,0.55803,0.5378,0.451413416
0.920432906,0.859036695,0.684871894,0.903093333,0.835036667,0.871337449
0.529897703,0.690770452,0.821578033,0.627116667,0.724184683,0.658979124
0.758057345,0.930728549,0.879283968,0.80508,0.810673333,0.688811653
0.135946616,0.006620403,0.040305506,0.117772381,0.050804762,0.163430147
0.719140588,0.869212263,0.888551655,0.74045,0.7092,0.803134055
0.096079483,0.008066987,0.043179037,0.21269,0.114263793,0.197396321
0.070974727,0.011228259,0.020522556,0.169138571,0.061291991,0.181704575
0.824787248,0.940384849,0.998597723,0.794954444,0.803588095,0.835316481
0.903240648,0.993966644,0.988650175,0.9692,0.991966667,0.87799369
0.676025282,0.985435719,0.995894582,0.9142,0.9807,0.855169647
0.917129912,0.998553533,0.995154251,0.955666667,0.9832,0.892127626
