D1,D2,D3,D1,D2,D3
0.577413069,0.825185476,0.64745319,0.838,0.794833333,0.72866121
0.626261159,0.916615179,0.998806974,0.98,1,0.899742437
0.105220889,0.101208247,0.089745752,0.242,0.223,0.230647108
0.637772782,0.01272219,0.093362544,0.300666667,0.330130435,0.181069854
0.04485972,0.001243345,0.006146673,0.138666667,0.047219771,0.155796078
0.520160671,0.005376038,0.006753725,0.298,0.339,0.359011287
0.73969583,0.996622807,0.974515738,0.806,0.918,0.579973385
0.626261159,0.999927249,0.999397487,0.824,0.7142,0.867669461
0.88519839,0.821114492,0.539672113,0.6461,0.73,0.696937813
0.383720934,0.001197913,0.051665203,0.187666667,0.114,0.190501758
0.855673364,0.482667577,0.709485532,0.711529101,0.770359962,0.64696585
0.284928736,0.131593664,0.119057098,0.276,0.36,0.213048679
0.559113761,0.609756681,0.853062117,0.5175,0.491,0.316666196
0.43153901,0.76220048,0.221413317,0.392333333,0.449,0.575128515
0.634821533,0.955263552,0.836967145,0.581137662,0.716377778,0.760739807
0.980393157,0.843385846,0.444123231,0.698666667,0.74,0.45145911
0.11176169,0.681786518,0.90117773,0.729,0.723,0.334124443
0.567196342,0.000681281,0.01771096,0.485,0.295883333,0.450651001
0.107235581,0.10881279,0.566440163,0.454444444,0.251904762,0.244103799
0.391847267,0.067905066,0.325488344,0.373,0.301333333,0.388705102
0.81647026,0.999947962,0.987065782,0.692,0.684,0.777462745
0.766511506,0.726763257,0.878511879,0.523764706,0.657,0.50649675
0.17512632,0.006580916,0.062056674,0.11,0.126,0.177401506
0.026057401,0.00498031,0.001226081,0.151,0.214,0.114856457
0.13648026,0.001833243,0.002142384,0.082,0.060622222,0.109883241
0.957079232,0.989231797,0.936026221,0.996,0.993,0.897039054
0.882843496,0.99466253,0.975807266,0.571,0.6235,0.692021312
0.349299223,0.798726514,0.570654809,0.474666667,0.4945,0.665580134
0.49242779,0.744977258,0.968052749,0.6476,0.693933333,0.783678499
0.8795309,0.517331149,0.951359533,0.755,0.819,0.855473247
0.006995157,0.002800041,0.001195387,0.046,0,0.19878791
0.707798325,0.207378017,0.529882253,0.556,0.557,0.645801105
0.053931828,0.025688725,0.061082654,0.006,0.015506227,0.102668403
0.587459087,0.038877358,0.873352063,0.746666667,0.746,0.763508551
0.943004318,0.968671598,0.643389877,0.87,0.805290043,0.850254325
0.394135888,0.105726728,0.050303342,0.346,0.387333333,0.319743878
0.538358106,0.621775968,0.571953018,0.420666667,0.468666667,0.298811001
