D1,D2,D3,D1,D2,D3
0.577413069,0.825185476,0.64745319,0.822,0.794266667,0.713722879
0.626261159,0.916615179,0.998806974,0.968,1,0.914863194
0.105220889,0.101208247,0.089745752,0.269666667,0.220333333,0.210149299
0.637772782,0.01272219,0.093362544,0.276454545,0.267,0.176752657
0.04485972,0.001243345,0.006146673,0.12,0.057666667,0.131641573
0.520160671,0.005376038,0.006753725,0.326,0.296,0.338007989
0.73969583,0.996622807,0.974515738,0.836,0.928,0.625092004
0.626261159,0.999927249,0.999397487,0.816,0.748,0.833180647
0.88519839,0.821114492,0.539672113,0.610333333,0.7328,0.696073113
0.383720934,0.001197913,0.051665203,0.148,0.125,0.189328575
0.855673364,0.482667577,0.709485532,0.711230045,0.796256733,0.635868946
0.284928736,0.131593664,0.119057098,0.23,0.338515152,0.17613569
0.559113761,0.609756681,0.853062117,0.4995,0.529,0.328442735
0.43153901,0.76220048,0.221413317,0.399666667,0.413666667,0.509495496
0.634821533,0.955263552,0.836967145,0.562697619,0.729733333,0.796807169
0.980393157,0.843385846,0.444123231,0.752,0.766,0.484832681
0.11176169,0.681786518,0.90117773,0.69,0.704,0.341286612
0.567196342,0.000681281,0.01771096,0.441333333,0.266133333,0.430873949
0.107235581,0.10881279,0.566440163,0.439469697,0.295671429,0.227817597
0.391847267,0.067905066,0.325488344,0.406666667,0.282333333,0.366652504
0.81647026,0.999947962,0.987065782,0.694,0.642,0.783442805
0.766511506,0.726763257,0.878511879,0.575,0.668833333,0.562639496
0.17512632,0.006580916,0.062056674,0.15,0.1,0.149686109
0.026057401,0.00498031,0.001226081,0.172,0.192,0.117596738
0.13648026,0.001833243,0.002142384,0.059,0.054,0.116578001
0.957079232,0.989231797,0.936026221,0.996,0.998,0.889858261
0.882843496,0.99466253,0.975807266,0.584,0.651,0.703294755
0.349299223,0.798726514,0.570654809,0.461333333,0.551333333,0.595387416
0.49242779,0.744977258,0.968052749,0.653,0.7536,0.768406323
0.8795309,0.517331149,0.951359533,0.75,0.838333333,0.833971622
0.006995157,0.002800041,0.001195387,0.064,0.008,0.218238799
0.707798325,0.207378017,0.529882253,0.512,0.565,0.659895729
0.053931828,0.025688725,0.061082654,0.016,0.010535714,0.108637738
0.587459087,0.038877358,0.873352063,0.726,0.754,0.746323482
0.943004318,0.968671598,0.643389877,0.884,0.814,0.85538354
0.394135888,0.105726728,0.050303342,0.357,0.39,0.292700994
0.538358106,0.621775968,0.571953018,0.392,0.495666667,0.299916324
0.525736921,0.078823825,0.271019149,0.582,0.307,0.720047125
0.782692399,0.981005204,0.865055507,0.679295238,0.742768228,0.588639646
0.905415638,0.993292176,0.988975583,0.87,0.887333333,0.872981369
0.800272106,0.994081531,0.972366996,0.936,0.974,0.895697762
0.105373943,0.000401449,0.025541322,0.152666667,0.12,0.144503854
0.118010306,0.107945084,0.029688602,0.066166667,0.020333333,0.132455282
0.814094468,0.565747599,0.966843824,0.655142857,0.6874,0.790687647
0.631312093,0.974170092,0.886009589,0.828666667,0.919,0.716334757
0.941769513,0.998751558,0.997131118,0.915333333,0.958,0.868748997
0.562031388,0.967450058,0.337639074,0.495,0.661535354,0.21983867
0.259424429,0.101944784,0.027132442,0.333,0.281333333,0.552524466
0.61127861,0.026981706,0.045871647,0.228,0.03,0.370312255
0.974001927,0.347003197,0.122722477,0.703333333,0.539833333,0.524072989
0.954140703,0.993757142,0.97349579,0.873333333,0.837,0.849218867
0.642625673,0.996145182,0.907372342,0.684,0.724,0.805641317
0.176917152,0.001534293,0.024702162,0.2685,0.263133333,0.265637601
0.791423479,0.824599802,0.680004759,0.675,0.621666667,0.787296014
0.57499865,0.131123606,0.332421336,0.512,0.324,0.571373361
0.591305724,0.795029469,0.844925296,0.678,0.791,0.782718257
0.36888942,0.593848447,0.124751888,0.255666667,0.276219048,0.201940646
0.001429755,0.017905322,0.002560651,0.233530303,0.127666667,0.149725729
0.949590041,0.917092828,0.99527962,0.915,0.966,0.87611209
0.775809031,0.011271325,0.136709604,0.464,0.408333333,0.317392038
0.089560427,0.000142873,0.007259183,0.193133333,0.186833333,0.194018126
0.772476532,0.999367146,0.382195172,0.552,0.5318,0.28000554
0.851496948,0.994398966,0.965579583,0.5555,0.5275,0.412513028
0.845533886,0.790080652,0.363380824,0.562,0.362,0.813554719
0.813722433,0.004196263,0.02391032,0.2372,0.194,0.259291667
0.632241223,0.155984827,0.098820662,0.597,0.5308,0.641404843
0.827778159,0.997408012,0.951378338,0.733666667,0.904166667,0.82192676
0.574235269,0.998022952,0.937108565,0.79,0.752666667,0.851124695
0.304839257,0.025361578,0.002986268,0.161716129,0.072666667,0.175497038
0.477891219,0.903387447,0.493629176,0.607366667,0.469604762,0.769657105
0.465830355,0.005796721,0.008252021,0.227,0.119,0.206425271
0.518252548,0.840045199,0.029655436,0.277333333,0.338333333,0.184875914
0.945713612,0.978055687,0.903698201,0.9755,0.963426307,0.871812583
0.841681581,0.029469732,0.107651565,0.545333333,0.432,0.381412164
0.907876106,0.956925404,0.962190952,0.913666667,0.879033333,0.799778656
0.714965134,0.999896656,0.998613317,0.992,0.998,0.87335276
0.313302196,0.913344503,0.595437152,0.706,0.898488095,0.569488647
0.866465623,0.999306441,0.992350938,0.822,0.934,0.763342687
0.776310492,0.719061846,0.873073508,0.8745,0.867900901,0.846610437
0.021514532,0.016443572,0.020420541,0.096166667,0.063217773,0.108436787
0.841991243,0.449276453,0.836323063,0.84,0.801,0.862950893
0.246902903,0.084664927,0.241131797,0.172333333,0.100304762,0.576081746
0.523662923,0.958731657,0.88093603,0.7836,0.8636,0.736691709
0.618186615,0.999228759,0.984987986,0.932,0.984,0.853916315
0.631020195,0.999236689,0.974826365,0.796,0.79,0.878842003
0.367890495,0.913845782,0.506200737,0.338303571,0.313110334,0.491409955
0.363344851,0.293982868,0.1136795,0.196095238,0.122559679,0.441864065
0.557145147,0.005020115,0.118690345,0.336,0.322,0.194953743
0.859430838,0.991861428,0.866235597,0.762,0.904,0.832399483
0.811889988,0.075127803,0.592984389,0.552,0.397466667,0.733064917
0.853310131,0.999917175,0.99883433,0.978,0.996,0.86941709
0.915726394,0.98838348,0.987565547,0.897,0.860633333,0.860008753
0.531067756,0.990566533,0.840355426,0.554,0.766,0.843996063
0.048926335,0.000684069,0.011929989,0.393123626,0.251090842,0.245026434
0.621854424,0.098670472,0.949040731,0.72,0.872,0.721938565
0.819648722,0.010880582,0.896689686,0.4684,0.451,0.344864525
0.928483694,0.873600613,0.391806767,0.731,0.824,0.819912683
0.637711836,0.119019574,0.91740967,0.664961111,0.57938039,0.613539187
0.848174551,0.815802609,0.810677448,0.5452,0.421,0.808317664
0.847783118,0.909357835,0.285520978,0.392,0.435,0.387675233
0.141521953,0.013254621,0.020728726,0.112,0.06134632,0.122789543
0.601066861,0.691569391,0.511102641,0.54,0.552,0.776525323
0.797286613,0.964473941,0.191832784,0.787666667,0.724333333,0.723127443
0.98150577,0.998657805,0.982618156,0.915666667,0.9275,0.88006177
0.49242779,0.015402424,0.128556149,0.252,0.162,0.282270299
0.93027417,0.991573771,0.94921869,0.7,0.741,0.762436432
0.955068541,0.823685578,0.984465023,0.744,0.768,0.793078041
0.99488452,0.998559359,0.980189461,0.954,0.990666667,0.869202323
0.057843385,0.000172081,0.004532723,0.018181818,0.00162258,0.090140022
0.2294208,0.990206103,0.951265259,0.832,0.976,0.761130085
0.212110929,0.017266046,0.352662414,0.2276,0.271238095,0.442011232
